# Reserved Words                Implemented
ACCEPT                          Yes
ACCESS                          Yes
ACTIVE-CLASS                    No
ADD                             Yes
ADDRESS                         Yes
ADVANCING                       Yes
AFTER                           Yes
ALIGNED                         No
ALL                             Yes
ALLOCATE                        Yes
ALPHABET                        Yes
ALPHABETIC                      Yes
ALPHABETIC-LOWER                Yes
ALPHABETIC-UPPER                Yes
ALPHANUMERIC                    Yes
ALPHANUMERIC-EDITED             Yes
ALSO                            Yes
ALTER                           Yes
ALTERNATE                       Yes
AND                             Yes
ANY                             Yes
ANYCASE                         No
ARE                             Yes
AREA                            Yes
AREAS                           Yes
ARGUMENT-NUMBER                 Yes
ARGUMENT-VALUE                  Yes
ARITHMETIC                      No (Context sensitive)
AS                              Yes
ASCENDING                       Yes
ASCII                           Yes (Context sensitive)
ASSIGN                          Yes
AT                              Yes
ATTRIBUTE                       Yes (Context sensitive)
AUTO                            Yes
AUTO-SKIP                       Yes
AUTOMATIC                       Yes
AUTOTERMINATE                   Yes
AWAY-FROM-ZERO                  Yes (Context sensitive)
B-AND                           No
B-NOT                           No
B-OR                            No
B-XOR                           No
BACKGROUND-COLOR                Yes
BACKGROUND-COLOUR               Yes
BASED                           Yes
BEEP                            Yes
BEFORE                          Yes
BELL                            Yes
BINARY                          Yes
BINARY-C-LONG                   Yes
BINARY-CHAR                     Yes
BINARY-DOUBLE                   Yes
BINARY-INT                      Yes
BINARY-LONG                     Yes
BINARY-LONG-LONG                Yes
BINARY-SHORT                    Yes
BIT                             No
BLANK                           Yes
BLINK                           Yes
BLOCK                           Yes
BOOLEAN                         No
BOTTOM                          Yes
BY                              Yes
BYTE-LENGTH                     Yes (Context sensitive)
CALL                            Yes
CANCEL                          Yes
CAPACITY                        Yes (Context sensitive)
CARD-PUNCH                      Yes (Context sensitive)
CARD-READER                     Yes (Context sensitive)
CASSETTE                        Yes (Context sensitive)
CD                              Yes
CENTER                          No (Context sensitive)
CF                              Yes
CH                              Yes
CHAIN                           No
CHAINING                        Yes
CHARACTER                       Yes
CHARACTERS                      Yes
CLASS                           Yes
CLASS-ID                        No
CLASSIFICATION                  Yes (Context sensitive)
CLOSE                           Yes
CODE                            Yes
CODE-SET                        Yes
COL                             Yes
COLLATING                       Yes
COLOR                           No
COLS                            Yes
COLUMN                          Yes
COLUMNS                         Yes
COMMA                           Yes
COMMAND-LINE                    Yes
COMMIT                          Yes
COMMON                          Yes
COMMUNICATION                   Yes
COMP                            Yes
COMP-1                          Yes
COMP-2                          Yes
COMP-3                          Yes
COMP-4                          Yes
COMP-5                          Yes
COMP-6                          Yes
COMP-X                          Yes
COMPUTATIONAL                   Yes
COMPUTATIONAL-1                 Yes
COMPUTATIONAL-2                 Yes
COMPUTATIONAL-3                 Yes
COMPUTATIONAL-4                 Yes
COMPUTATIONAL-5                 Yes
COMPUTATIONAL-X                 Yes
COMPUTE                         Yes
CONDITION                       Yes
CONFIGURATION                   Yes
CONSTANT                        Yes
CONTAINS                        Yes
CONTENT                         Yes
CONTINUE                        Yes
CONTROL                         Yes
CONTROLS                        Yes
CONVERSION                      Yes (Context sensitive)
CONVERTING                      Yes
COPY                            Yes
CORR                            Yes
CORRESPONDING                   Yes
COUNT                           Yes
CRT                             Yes
CRT-UNDER                       Yes
CURRENCY                        Yes
CURSOR                          Yes
CYCLE                           Yes (Context sensitive)
DATA                            Yes
DATA-POINTER                    No
DATE                            Yes
DAY                             Yes
DAY-OF-WEEK                     Yes
DE                              Yes
DEBUGGING                       Yes
DECIMAL-POINT                   Yes
DECLARATIVES                    Yes
DEFAULT                         Yes
DELETE                          Yes
DELIMITED                       Yes
DELIMITER                       Yes
DEPENDING                       Yes
DESCENDING                      Yes
DESTINATION                     Yes
DESTROY                         No
DETAIL                          Yes
DISABLE                         Yes
DISC                            Yes (Context sensitive)
DISK                            Yes (Context sensitive)
DISPLAY                         Yes
DIVIDE                          Yes
DIVISION                        Yes
DOWN                            Yes
DUPLICATES                      Yes
DYNAMIC                         Yes
EBCDIC                          Yes (Context sensitive)
EC                              Yes
ECHO                            Yes
EGI                             Yes
ELSE                            Yes
EMI                             Yes
EMPTY-CHECK                     Yes
ENABLE                          Yes
END                             Yes
END-ACCEPT                      Yes
END-ADD                         Yes
END-CALL                        Yes
END-CHAIN                       No
END-COMPUTE                     Yes
END-DELETE                      Yes
END-DISPLAY                     Yes
END-DIVIDE                      Yes
END-EVALUATE                    Yes
END-IF                          Yes
END-MULTIPLY                    Yes
END-OF-PAGE                     Yes
END-PERFORM                     Yes
END-READ                        Yes
END-RECEIVE                     Yes
END-RETURN                      Yes
END-REWRITE                     Yes
END-SEARCH                      Yes
END-START                       Yes
END-STRING                      Yes
END-SUBTRACT                    Yes
END-UNSTRING                    Yes
END-WRITE                       Yes
ENTRY                           Yes
ENTRY-CONVENTION                No (Context sensitive)
ENVIRONMENT                     Yes
ENVIRONMENT-NAME                Yes
ENVIRONMENT-VALUE               Yes
EO                              No
EOL                             Yes (Context sensitive)
EOP                             Yes
EOS                             Yes (Context sensitive)
EQUAL                           Yes
EQUALS                          Yes
ERASE                           Yes
ERROR                           Yes
ESCAPE                          Yes
ESI                             Yes
EVALUATE                        Yes
EXCEPTION                       Yes
EXCEPTION-OBJECT                No
EXCLUSIVE                       Yes
EXIT                            Yes
EXPANDS                         No (Context sensitive)
EXTEND                          Yes
EXTERNAL                        Yes
F                               Yes
FACTORY                         No
FALSE                           Yes
FD                              Yes
FILE                            Yes
FILE-CONTROL                    Yes
FILE-ID                         Yes
FILLER                          Yes
